period,trait,uid,consec_diff_idx,n_pool,consec_diff,group_mean,group_sd,test,p_vs_mean,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
Jomon,mbc,Fukahori_2001-2,1,12,-0.4400000000000004,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.3696682464454977e-4,96,n.s.,2.3696682464454977e-4,96,n.s.
Jomon,mbc,Fukahori_2001-2,2,12,-0.3199999999999994,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.380952380952381e-4,97,n.s.,2.380952380952381e-4,97,n.s.
Jomon,mbc,Okinoharu_21,1,12,-0.21999999999999975,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.4154589371980678e-4,100,n.s.,2.4154589371980678e-4,100,n.s.
Jomon,mbc,Okinoharu_21,2,12,-0.3899999999999997,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.4271844660194176e-4,101,n.s.,2.4271844660194176e-4,101,n.s.
Jomon,mbc,Okinoharu_25,1,12,-0.25,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.3923444976076556e-4,98,n.s.,2.3923444976076556e-4,98,n.s.
Jomon,mbc,Okinoharu_25,2,12,-0.9199999999999999,-0.1666666666666666,0.36079037815565,dixon,0.09191628162713102,0.09191628162713102,2.403846153846154e-4,99,n.s.,2.403846153846154e-4,99,n.s.
Jomon,mbc,Shirahama_1,1,12,-0.0699999999999994,-0.1666666666666666,0.36079037815565,dixon,0.11761691483458203,0.09191628162713102,2.564102564102564e-4,112,n.s.,2.4509803921568627e-4,103,n.s.
Jomon,mbc,Shirahama_1,2,12,0,-0.1666666666666666,0.36079037815565,dixon,0.11761691483458203,0.11761691483458203,2.577319587628866e-4,113,n.s.,2.5510204081632655e-4,111,n.s.
Jomon,mbc,Wakimisaki_2,1,12,0.040000000000000036,-0.1666666666666666,0.36079037815565,dixon,0.11761691483458203,0.11761691483458203,2.538071065989848e-4,110,n.s.,2.525252525252525e-4,109,n.s.
Jomon,mbc,Wakimisaki_2,2,12,0.040000000000000036,-0.1666666666666666,0.36079037815565,dixon,0.11761691483458203,0.11761691483458203,2.5510204081632655e-4,111,n.s.,2.538071065989848e-4,110,n.s.
Jomon,mbc,Wakimisaki_5,1,12,0.5899999999999999,-0.1666666666666666,0.36079037815565,dixon,0.11761691483458203,0.11761691483458203,2.512562814070352e-4,108,n.s.,2.512562814070352e-4,108,n.s.
