period,trait,n,z,p,bonf,rank,alpha
Jomon,xbi1,7,0.7873359887517356,0.43108520748661316,0.025,1,n.s.
Jomon,mlm2,8,0.6929348671835832,0.4883504271844812,0.05,2,n.s.
Yayoi,xli2,12,-2.481670297678517,0.013076820767531631,0.004545454545454546,1,n.s.
Yayoi,xlm1,11,-1.9836105322874378,0.047299274167081955,0.005,2,n.s.
Yayoi,xbm1,11,-1.351155000253762,0.1766457860793304,0.005555555555555556,3,n.s.
Yayoi,xbc,8,-1.0079052613579391,0.3134999455835881,0.00625,4,n.s.
Yayoi,xbi2,14,0.8726311997770984,0.38286412904179956,0.0071428571428571435,5,n.s.
Yayoi,xbp2,3,0.7071067811865475,0.4795001221869535,0.008333333333333333,6,n.s.
Yayoi,mbm1,20,-0.6882472016116853,0.491297124215893,0.01,7,n.s.
Yayoi,xbi1,13,0.4955528319049067,0.6202099385235695,0.0125,8,n.s.
Yayoi,mlm1,23,0.4175446339119359,0.6762800842536019,0.016666666666666666,9,n.s.
Yayoi,mbp2,17,0.3431372549019608,0.7314952052849795,0.025,10,n.s.
Yayoi,xbp1,14,-0.3335540108373687,0.7387161265132314,0.05,11,n.s.
