period,trait,mean_av,mean_av_se,mean_diff,mean_diff_se,n,skew,kurt,da_ts,da_p,da_bonf,da_rank,da_alpha
Jomon,mlm2,10.159062500000001,0.27630572220013067,-0.1793749999999994,0.1631865647371566,8,0.11305813294143968,-0.9958487757707095,-1.099202010220127,0.30804110568233767,0.025,1,n.s.
Jomon,xbi1,6.813928571428572,0.10771691451888785,0.09357142857142849,0.12269161052214218,7,0.8636492900463091,0.13398513454778715,0.7626554755717517,0.47457438657804407,0.05,2,n.s.
Yayoi,xbc,7.70375,0.1596830007054155,0.23375000000000012,0.1598569393909085,8,1.2707788142796463,1.5469968738771493,1.4622449353192992,0.18706891896289374,0.004545454545454546,1,n.s.
Yayoi,mlm1,11.079239130434782,0.10134208528818874,0.09239130434782608,0.07032032128407689,23,0.8573432634108721,1.0900590348293164,1.3138635128612086,0.2024285791424202,0.005,2,n.s.
Yayoi,xbm1,11.158181818181818,0.21024230904458016,0.10727272727272741,0.08855240779120489,11,0.891002150552476,0.31519560263541857,1.2114038448921978,0.25358953949302,0.005555555555555556,3,n.s.
Yayoi,mbm1,10.711125,0.09553407269687936,0.057250000000000155,0.05261638102940545,20,0.9142911018066007,2.010363850203002,1.088064189895636,0.2901767895182274,0.00625,4,n.s.
Yayoi,xlm1,9.993181818181817,0.18967708531663713,-0.268181818181818,0.24088027271888404,11,-1.8616776856474033,3.893232403524026,-1.1133407279673577,0.2916074102410851,0.0071428571428571435,5,n.s.
Yayoi,xbi2,6.324642857142857,0.1403172565869051,-0.08714285714285719,0.15240806478123478,14,-1.3937030512636102,2.6216302029408585,-0.571773267168908,0.5772288051844531,0.008333333333333333,6,n.s.
Yayoi,xbp1,8.722857142857142,0.2704928927412842,-0.02142857142857129,0.05437312222709059,14,0.3928174098571583,0.9248605591126893,-0.39410227978217566,0.699894142634862,0.01,7,n.s.
Yayoi,mbp2,8.073823529411765,0.11005745442368473,-0.028235294117647084,0.07960373039458364,17,-0.7776722303186087,1.2441110921465706,-0.35469812755870866,0.7274476785676329,0.0125,8,n.s.
Yayoi,xbp2,8.4675,0.09340770846134705,-0.028333333333333027,0.09820613241770818,3,0.03913288564402081,-1.5000000000000002,-0.2885087991534026,0.8001106347754434,0.016666666666666666,9,n.s.
Yayoi,xli2,6.669791666666667,0.23610604848256325,-0.055416666666666524,0.24183755060750678,12,-1.560739831214799,3.5517232874141316,-0.2291483126894784,0.8229584187141453,0.025,10,n.s.
Yayoi,xbi1,7.000384615384616,0.10882304728917389,7.692307692307529e-4,0.0657497347022194,13,0.5980498911144256,-0.7981336512991057,0.011699374495039404,0.9908577191987876,0.05,11,n.s.
