site,period,ind,sex,age,rep,side,uid,Trait,Value
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xlc,5.96
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xli2,5.94
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xli1,7.8
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbc,7.24
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbi2,6.69
Fukahori,Jomon,2002-2,male,mat,1,R,Fukahori_2002-2,xbi1,6.61
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xlc,6.21
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xli2,5.63
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xli1,7.33
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbc,7.36
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbi2,6.44
Fukahori,Jomon,2002-2,male,mat,1,L,Fukahori_2002-2,xbi1,6.55
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xlm1,9.6
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xlp2,6.64
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xli2,7.47
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbm1,11.11
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbp2,9.6
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbi2,6.92
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,xbi1,7.44
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mlp1,6.48
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mlc,6.48
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mbp1,8.09
Fukahori,Jomon,2001-2,female,adult,1,R,Fukahori_2001-2,mbc,7.7
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xlm1,9.35
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xlp2,6.95
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xli2,6.56
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbm1,10.96
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbp2,9.8
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbi2,6.81
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,xbi1,7.29
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mlp1,6.99
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mlc,6.53
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mbp1,7.88
Fukahori,Jomon,2001-2,female,adult,1,L,Fukahori_2001-2,mbc,7.39
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xlm2,9.45
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xlp2,6.63
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xli1,8.33
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xbm2,11.52
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,xbi1,7.13
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlm2,10.5
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlm1,11.11
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlp2,7.2
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mlp1,6.63
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbm2,10.16
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbm1,10.36
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbp2,7.34
Wakimisaki,Jomon,1,male,adult,1,R,Wakimisaki_1,mbp1,7.01
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xlm2,9.88
Wakimisaki,Jomon,1,male,adult,1,L,Wakimisaki_1,xlp2,6.55
